Label,Score
Business_Ethics,1006.6485342085361
Competitive_Behavior,170.22718529996928
Management_Of_Legal_And_Regulatory_Framework,78.04270458372775
Systemic_Risk_Management,50.67674042418366
Business_Model_Resilience,36.89348541654181
Director_Removal,29.578594300197437
GHG_Emissions,24.297070030181203
Ecological_Impacts,20.76762094098376
Product_Quality_And_Safety,18.432407403888647
Customer_Welfare,16.64265329152113
Employee_Engagement_Inclusion_And_Diversity,15.115834391268436
Human_Rights_And_Community_Relations,13.874436367652379
Data_Security,12.787253389542457
Selling_Practices_And_Product_Labeling,11.768515251373174
Labor_Practices,10.884651921893237
Access_And_Affordability,10.065829636325361
Supply_Chain_Management,9.308743235014845
Product_Design_And_Lifecycle_Management,8.62155807716772
Customer_Privacy,7.976698830927489
Air_Quality,7.357681126246462
Employee_Health_And_Safety,6.743807506398298
Energy_Management,6.177906474622432
Water_And_Wastewater_Management,5.569479222234804
Critical_Incident_Risk_Management,4.9666214816243155
Waste_And_Hazardous_Materials_Management,4.25002996288822
Physical_Impacts_Of_Climate_Change,3.323957844186225
