Label,Score
Business_Model_Resilience,793.9091448038816
Management_Of_Legal_And_Regulatory_Framework,155.4126807784196
Systemic_Risk_Management,71.48713547585066
Director_Removal,43.9039519460639
Supply_Chain_Management,31.507257529709022
Product_Design_And_Lifecycle_Management,24.31380425032694
Ecological_Impacts,20.01627670630114
Employee_Engagement_Inclusion_And_Diversity,17.208895386138465
Physical_Impacts_Of_Climate_Change,15.271244638948701
Customer_Welfare,13.786637669312768
Business_Ethics,12.63905619358411
Competitive_Behavior,11.634320186683908
Human_Rights_And_Community_Relations,10.728451438073535
Product_Quality_And_Safety,9.939701642957516
Access_And_Affordability,9.203882995410822
Data_Security,8.501852044078987
GHG_Emissions,7.878979868663009
Selling_Practices_And_Product_Labeling,7.328502208809368
Waste_And_Hazardous_Materials_Management,6.787679623346776
Water_And_Wastewater_Management,6.234747841546778
Energy_Management,5.715362337214174
Customer_Privacy,5.199728873936692
Labor_Practices,4.7215812763315625
Air_Quality,4.1766643874289
Employee_Health_And_Safety,3.610314502788242
Critical_Incident_Risk_Management,2.8821491829730803
