Label,Score
Management_Of_Legal_And_Regulatory_Framework,203.89246317744255
Systemic_Risk_Management,59.417252112179995
Business_Model_Resilience,34.4766064689029
Director_Removal,23.656630865763873
Business_Ethics,17.925149011658505
Supply_Chain_Management,14.221496652229689
Competitive_Behavior,12.00533256214112
Access_And_Affordability,10.347033602767624
Ecological_Impacts,9.15461634460371
Customer_Welfare,8.121901530888863
Human_Rights_And_Community_Relations,7.276652200962417
Employee_Engagement_Inclusion_And_Diversity,6.463336354121566
Product_Quality_And_Safety,5.867278611985967
Data_Security,5.391034739266615
Selling_Practices_And_Product_Labeling,4.911547584168147
Physical_Impacts_Of_Climate_Change,4.504653875250369
GHG_Emissions,4.10657582746353
Product_Design_And_Lifecycle_Management,3.7444504475570284
Critical_Incident_Risk_Management,3.41856555925915
Energy_Management,3.1204653969034553
Customer_Privacy,2.8364473011461087
Employee_Health_And_Safety,2.5645007666025776
Water_And_Wastewater_Management,2.3260367596230935
Labor_Practices,2.065503226709552
Air_Quality,1.7911821272282396
Waste_And_Hazardous_Materials_Management,1.3932885310787242
