Label,Score
Management_Of_Legal_And_Regulatory_Framework,441.8926828876138
Labor_Practices,70.21546436089557
Energy_Management,34.90627543407027
Human_Rights_And_Community_Relations,21.893590714782476
Access_And_Affordability,16.640988672384992
GHG_Emissions,13.548261424701195
Business_Ethics,11.479378522373736
Ecological_Impacts,9.836723235377576
Air_Quality,8.662512785231229
Director_Removal,7.863012582005467
Data_Security,7.220877689193003
Systemic_Risk_Management,6.60268921853276
Selling_Practices_And_Product_Labeling,6.033145184977911
Physical_Impacts_Of_Climate_Change,5.549788961710874
Waste_And_Hazardous_Materials_Management,5.104252319375519
Product_Quality_And_Safety,4.736058327893261
Competitive_Behavior,4.374641619157046
Critical_Incident_Risk_Management,4.080234399356414
Supply_Chain_Management,3.7827189267845824
Employee_Health_And_Safety,3.5112041008251254
Customer_Welfare,3.2473169221775606
Water_And_Wastewater_Management,3.001534424693091
Customer_Privacy,2.7188982709194534
Product_Design_And_Lifecycle_Management,2.416016331757419
Business_Model_Resilience,2.084595991866081
Employee_Engagement_Inclusion_And_Diversity,1.5971364619181259
