Label,Score
Business_Ethics,452.1256128028035
Management_Of_Legal_And_Regulatory_Framework,76.93588210479356
Competitive_Behavior,35.006649162387475
Systemic_Risk_Management,22.388850539340638
Human_Rights_And_Community_Relations,17.263406120066065
Labor_Practices,14.161051130853593
Director_Removal,12.053952249523718
Physical_Impacts_Of_Climate_Change,10.59066397586139
Data_Security,9.340359848109074
GHG_Emissions,8.431023635203019
Ecological_Impacts,7.675181404454634
Business_Model_Resilience,6.957805722544435
Critical_Incident_Risk_Management,6.39749843662139
Supply_Chain_Management,5.8372449791640975
Water_And_Wastewater_Management,5.383124628046062
Selling_Practices_And_Product_Labeling,4.963796683849068
Air_Quality,4.59727277624188
Customer_Welfare,4.264166647277307
Employee_Health_And_Safety,3.939967678335961
Product_Quality_And_Safety,3.640268095972715
Energy_Management,3.3304315627901815
Waste_And_Hazardous_Materials_Management,3.0182163983699866
Customer_Privacy,2.7130048350954894
Employee_Engagement_Inclusion_And_Diversity,2.395040851610247
Access_And_Affordability,2.027834135151352
Product_Design_And_Lifecycle_Management,1.5616934359422885
