Label,Score
Human_Rights_And_Community_Relations,832.6434521079063
Management_Of_Legal_And_Regulatory_Framework,124.74822956917342
Business_Model_Resilience,54.598844583844766
Ecological_Impacts,35.77263709611725
Access_And_Affordability,26.54142154363217
Physical_Impacts_Of_Climate_Change,20.95102942653466
Systemic_Risk_Management,17.8504806086421
Director_Removal,15.651791901094839
GHG_Emissions,13.994920004275627
Supply_Chain_Management,12.634820592415053
Business_Ethics,11.445763899420854
Competitive_Behavior,10.49732517474331
Selling_Practices_And_Product_Labeling,9.676784692448564
Employee_Engagement_Inclusion_And_Diversity,8.91365208325442
Product_Design_And_Lifecycle_Management,8.247034449334024
Data_Security,7.661752143816557
Employee_Health_And_Safety,7.0949636263540015
Product_Quality_And_Safety,6.609552361391252
Critical_Incident_Risk_Management,6.095595035149017
Water_And_Wastewater_Management,5.606181438954081
Energy_Management,5.150627524009906
Customer_Privacy,4.693245011847466
Customer_Welfare,4.283129674935481
Labor_Practices,3.823206210407079
Air_Quality,3.2638628921995405
Waste_And_Hazardous_Materials_Management,2.5496948293439345
